BMY,Bristol-Myers Squibb Company,Healthcare,Drug Manufacturers—General,http://www.bms.com
BR,"Broadridge Financial Solutions, Inc.",Technology,Information Technology Services,http://www.broadridge.com
BSX,Boston Scientific Corporation,Healthcare,Medical Devices,http://www.bostonscientific.com
BWA,BorgWarner Inc.,Consumer Cyclical,Auto Parts,http://www.borgwarner.com
BXP,"Boston Properties, Inc.",Real Estate,REIT—Office,http://www.bostonproperties.com
C,Citigroup Inc.,Financial Services,Banks—Diversified,http://www.citigroup.com
CAG,"Conagra Brands, Inc.",Consumer Defensive,Packaged Foods,http://www.conagrabrands.com
CAH,"Cardinal Health, Inc.",Healthcare,Medical Distribution,http://www.cardinalhealth.com
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,http://www.corporate.carrier.com
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,http://www.caterpillar.com
CB,Chubb Limited,Financial Services,Insurance—Property & Casualty,http://www.chubb.com/us-en
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial Data & Stock Exchanges,http://www.cboe.com
CBRE,"CBRE Group, Inc.",Real Estate,Real Estate Services,http://www.cbre.com
CCI,Crown Castle International Corp. (REIT),Real Estate,REIT—Specialty,http://www.crowncastle.com
CCL,Carnival Corporation & Plc,Consumer Cyclical,Travel Services,http://www.carnivalcorp.com
CDNS,"Cadence Design Systems, Inc.",Technology,Software—Application,http://www.cadence.com
CDW,CDW Corporation,Technology,Information Technology Services,http://www.cdw.com
CE,Celanese Corporation,Basic Materials,Chemicals,http://www.celanese.com
CERN,Cerner Corporation,Healthcare,Health Information Services,http://www.cerner.com
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,http://www.cfindustries.com
CFG,"Citizens Financial Group, Inc.",Financial Services,Banks—Regional,http://www.citizensbank.com
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,Household & Personal Products,http://www.churchdwight.com
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Integrated Freight & Logistics,http://www.chrobinson.com
CHTR,"Charter Communications, Inc.",Communication Services,Entertainment,http://corporate.charter.com
CI,Cigna Corporation,Healthcare,Healthcare Plans,http://www.cigna.com
CINF,Cincinnati Financial Corporation,Financial Services,Insurance—Property & Casualty,http://www.cinfin.com
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,http://www.colgatepalmolive.com
CLX,The Clorox Company,Consumer Defensive,Household & Personal Products,http://www.thecloroxcompany.com
CMA,Comerica Incorporated,Financial Services,Banks—Regional,http://www.comerica.com
CMCSA,Comcast Corporation,Communication Services,Entertainment,http://corporate.comcast.com
CME,CME Group Inc.,Financial Services,Financial Data & Stock Exchanges,http://www.cmegroup.com
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,http://www.chipotle.com
CMI,Cummins Inc.,Industrials,Specialty Industrial Machinery,http://www.cumminseurope.com/
CMS,CMS Energy Corporation,Utilities,Utilities—Regulated Electric,http://www.cmsenergy.com
